name,abbreviation,emailFormat,studentIdFormat
南科實中,nnkieh,@ms.nnkieh.tn.edu.tw,
南大附中,tntcshsa,@gm.tntcsh.tn.edu.tw,
曾文農工,twais ,@twivs.tn.edu.tw,
北門農工,pmai,,
曾文家商,twvs,@ms2.twvs.tn.edu.tw,
臺南高商,tncvs,,rq
新營高工,hyivs ,@gm.hyivs.tn.edu.tw,
新化高工,hhvs ,@sgm.hhvs.tn.edu.tw,
瀛海高中,yhsh ,@gm.yhsh.tn.edu.tw,
台南二中,tnssh ,@stu.tnssh.tn.edu.tw ,
南光高中,nkhs,@nkhs.tn.edu.tw,
長榮高中,cjshs,@st.cjshs.tn.edu.tw,
新豐高中,sfsh ,@sfsh.tn.edu.tw,
北門高中,bmsh ,@bmsh.tn.edu.tw,
新營高中,hysh,,rq
新化高中,hhsh ,@stu.hhsh.tn.edu.tw,
大灣高中,dwsh ,@stu.dwhs.tn.edu.tw,
南寧高中,nnsh ,@nnjh.tn.edu.tw,
土城高中,tcjh,@tcjh.tn.edu.tw,
永仁高中,yrhs ,@yrhs.tn.edu.tw,
興國高中,hkhs ,@hkhs.tn.edu.tw,
港明高中,kmsh,@web.kmsh.tn.edu.tw,
台南海事,tnvs,@gapps.tnvs.tn.edu.tw,
黎明高中,lmsh,"@lmsh.tn.edu.tw
",
明達高中,mdsh ,@mdsh.tn.edu.tw,
家齊高中,ccsh ,@ms2.ccsh.tn.edu.tw,
